0,1,2
0,OA - thick,18.963615656893914,2270.9277302662917
1,OA - sld,2.998330963122992,2.9518967884976646
2,OA - rough,9.982973951905922,11.330846638854933
3,SO - thick,15.71298227240633,2269.281140903979
4,SO - sld,2.950906443432581,3.8687671354598163
5,SO - rough,6.299973356650135,956.6606755043717
6,film - thick,339.71376945342155,1.1131196121024074
7,film - sld,2.2221362801483013,0.03159003620312411
8,film - rough,27.059008017192948,0.8111074539614137
9,repeats,7.880546571463006,1.5379360395785475e-11
10,scale,0.8831871408816413,0.028337145363544806
11,scale_2nd,0.04684231225465818,0.03038599270355116
